Rank   ,Player                      ,P    ,W    ,D    ,L    ,  %      ,Teams
2318.  ,Hector Ross                 ,11   ,7    ,0    ,4    ,63.64    ,CW/CA
2319.  ,Robert Stevenson            ,11   ,7    ,0    ,4    ,63.64    ,ES
2320.  ,Mitch Honeychurch           ,11   ,7    ,0    ,4    ,63.64    ,WB
2321.  ,Derek King                  ,11   ,7    ,0    ,4    ,63.64    ,SK
2322.  ,Stephen Silvagni            ,312  ,198  ,1    ,113  ,63.62    ,CA
2323.  ,Jack Cotter                 ,114  ,72   ,1    ,41   ,63.60    ,RI/SY
2324.  ,Max Urquhart                ,92   ,58   ,1    ,33   ,63.59    ,CW
2325.  ,Joe Misiti                  ,236  ,148  ,4    ,84   ,63.56    ,ES
2326.  ,Shane Bond                  ,48   ,30   ,1    ,17   ,63.54    ,CW/NM
2327.  ,Alan Didak                  ,218  ,138  ,1    ,79   ,63.53    ,CW
2328.  ,Maurie Gibb                 ,133  ,84   ,1    ,48   ,63.53    ,ME
2329.  ,Stewart Lord                ,74   ,45   ,4    ,25   ,63.51    ,GE
2330.  ,Terry Waters                ,163  ,103  ,1    ,59   ,63.50    ,CW
2331.  ,Fred Williams               ,152  ,95   ,3    ,54   ,63.49    ,FI/CA
2332.  ,Jim Mooring                 ,126  ,80   ,0    ,46   ,63.49    ,CA
2333.  ,Wes Lofts                   ,167  ,105  ,2    ,60   ,63.47    ,CA
2334.  ,Ted Potter                  ,182  ,114  ,3    ,65   ,63.46    ,CW
2335.  ,Brett Heady                 ,156  ,98   ,2    ,56   ,63.46    ,WC
2336.  ,Leo Turner                  ,130  ,82   ,1    ,47   ,63.46    ,GE
2337.  ,Norm Betson                 ,78   ,48   ,3    ,27   ,63.46    ,ES
2338.  ,Stan Dawson                 ,78   ,49   ,1    ,28   ,63.46    ,CW/FI
2339.  ,Keith Cook                  ,26   ,16   ,1    ,9    ,63.46    ,RI
2340.  ,Che Cockatoo-Collins        ,160  ,100  ,3    ,57   ,63.44    ,ES/PA
2341.  ,Peter Somerville            ,160  ,100  ,3    ,57   ,63.44    ,ES
2342.  ,Ray Gabelich                ,160  ,101  ,1    ,58   ,63.44    ,CW
2343.  ,Jack Mueller                ,216  ,136  ,2    ,78   ,63.43    ,ME
2344.  ,John Nicholls               ,328  ,205  ,6    ,117  ,63.41    ,CA
2345.  ,Daryl Griffiths             ,123  ,78   ,0    ,45   ,63.41    ,SK
2346.  ,Steve Leehane               ,82   ,50   ,4    ,28   ,63.41    ,CA
2347.  ,Jack Greenhill              ,41   ,25   ,2    ,14   ,63.41    ,CA
2348.  ,Geoff Gosper                ,168  ,104  ,5    ,59   ,63.39    ,ES
2349.  ,Jack Collins                ,127  ,79   ,3    ,45   ,63.39    ,ME
2350.  ,Tim Watson                  ,307  ,193  ,3    ,111  ,63.36    ,ES
2351.  ,Scott Maginness             ,131  ,83   ,0    ,48   ,63.36    ,HW
2352.  ,Adrian Dullard              ,116  ,73   ,1    ,42   ,63.36    ,ME
2353.  ,Ken Peucker                 ,60   ,38   ,0    ,22   ,63.33    ,ES
2354.  ,Bernie Hore                 ,60   ,38   ,0    ,22   ,63.33    ,GE
2355.  ,Alan Arthur                 ,30   ,19   ,0    ,11   ,63.33    ,ES
2356.  ,Frank Triplett              ,30   ,18   ,2    ,10   ,63.33    ,CA
2357.  ,Ned Bowen                   ,30   ,18   ,2    ,10   ,63.33    ,CA/SK
2358.  ,Hugh Fitzpatrick            ,30   ,19   ,0    ,11   ,63.33    ,ES
2359.  ,Charlie Moore               ,30   ,19   ,0    ,11   ,63.33    ,ES
2360.  ,Roy Johnson                 ,15   ,9    ,1    ,5    ,63.33    ,CA
2361.  ,Bertie Loel                 ,15   ,9    ,1    ,5    ,63.33    ,FI
2362.  ,David Hart                  ,184  ,116  ,1    ,67   ,63.32    ,WC
2363.  ,Nick Smith                  ,139  ,87   ,2    ,50   ,63.31    ,SY
2364.  ,Jordan Lewis                ,233  ,147  ,1    ,85   ,63.30    ,HW
2365.  ,David Glascott              ,173  ,109  ,1    ,63   ,63.29    ,CA
2366.  ,Ron Evans                   ,64   ,40   ,1    ,23   ,63.28    ,ES
2367.  ,Leo Merrett                 ,170  ,107  ,1    ,62   ,63.24    ,RI
2368.  ,Nick Malceski               ,189  ,118  ,3    ,68   ,63.23    ,SY/GC
2369.  ,Geoff Moriarty              ,106  ,66   ,2    ,38   ,63.21    ,FI
2370.  ,Bert Deacon                 ,106  ,67   ,0    ,39   ,63.21    ,CA
2371.  ,Dean Bailey                 ,53   ,33   ,1    ,19   ,63.21    ,ES
2372.  ,Adrian Gallagher            ,220  ,136  ,6    ,78   ,63.18    ,CA/WB/NM
2373.  ,John Worsfold               ,209  ,131  ,2    ,76   ,63.16    ,WC
2374.  ,Cam Bogie                   ,19   ,12   ,0    ,7    ,63.16    ,NM
2375.  ,Roy Payne                   ,19   ,12   ,0    ,7    ,63.16    ,ES
2376.  ,Bert Smedley                ,19   ,12   ,0    ,7    ,63.16    ,SK
2377.  ,Bob ONeill                  ,19   ,12   ,0    ,7    ,63.16    ,RI
2378.  ,Kamdyn McIntosh             ,19   ,12   ,0    ,7    ,63.16    ,RI
2379.  ,Nick Kommer                 ,19   ,12   ,0    ,7    ,63.16    ,ES
2380.  ,Peter Pettigrew             ,19   ,12   ,0    ,7    ,63.16    ,CW
2381.  ,Keith Stackpole             ,118  ,74   ,1    ,43   ,63.14    ,CW/FI
2382.  ,Rodney Eade                 ,259  ,163  ,1    ,95   ,63.13    ,HW/BB
2383.  ,Charlie Canet               ,80   ,49   ,3    ,28   ,63.13    ,CA
2384.  ,Shane Robertson             ,80   ,50   ,1    ,29   ,63.13    ,CA
2385.  ,Terry Brain                 ,141  ,89   ,0    ,52   ,63.12    ,SY
2386.  ,John McArthur               ,61   ,38   ,1    ,22   ,63.11    ,HW
2387.  ,George Hastings             ,107  ,67   ,1    ,39   ,63.08    ,ES
2388.  ,Adrian Gleeson              ,176  ,110  ,2    ,64   ,63.07    ,CA
2389.  ,Adam Ramanauskas            ,134  ,84   ,1    ,49   ,63.06    ,ES
2390.  ,Rupe McDonald               ,111  ,69   ,2    ,40   ,63.06    ,GE
2391.  ,Alan Goad                   ,138  ,87   ,0    ,51   ,63.04    ,HW
2392.  ,Charlie Milburn             ,69   ,43   ,1    ,25   ,63.04    ,CW/ES
2393.  ,Artie Rennie                ,23   ,14   ,1    ,8    ,63.04    ,ES
2394.  ,Merv Keane                  ,238  ,149  ,2    ,87   ,63.03    ,RI
2395.  ,Stephen Powell              ,142  ,89   ,1    ,52   ,63.03    ,WB/ME/SK
2396.  ,Paul Dear                   ,123  ,77   ,1    ,45   ,63.01    ,HW
2397.  ,Norm Smith                  ,227  ,142  ,2    ,83   ,63.00    ,ME/FI
2398.  ,Max Spittle                 ,50   ,31   ,1    ,18   ,63.00    ,ME
2399.  ,Fred Johnson                ,77   ,48   ,1    ,28   ,62.99    ,CA
2400.  ,Harry Saunders              ,135  ,84   ,2    ,49   ,62.96    ,CW
2401.  ,George Hams                 ,108  ,68   ,0    ,40   ,62.96    ,CW
2402.  ,Bruce McMaster-Smith        ,54   ,34   ,0    ,20   ,62.96    ,FI/CA/SK
2403.  ,George Moloney              ,27   ,17   ,0    ,10   ,62.96    ,ES
2404.  ,Barry Mackie                ,27   ,17   ,0    ,10   ,62.96    ,ES
2405.  ,Gus Leishman                ,27   ,17   ,0    ,10   ,62.96    ,GE
2406.  ,Jesse Smith                 ,27   ,17   ,0    ,10   ,62.96    ,NM
2407.  ,Tom Simmons                 ,27   ,17   ,0    ,10   ,62.96    ,CA
2408.  ,Bob Dunlop                  ,27   ,17   ,0    ,10   ,62.96    ,ES
2409.  ,George Todd                 ,232  ,145  ,2    ,85   ,62.93    ,GE
2410.  ,Roger James                 ,147  ,91   ,3    ,53   ,62.93    ,PA
2411.  ,Hassa Mann                  ,178  ,111  ,2    ,65   ,62.92    ,ME
2412.  ,Doug Williams               ,120  ,75   ,1    ,44   ,62.92    ,CA
2413.  ,Ramsay Anderson             ,31   ,19   ,1    ,11   ,62.90    ,ES/UN
2414.  ,Geoff Ablett                ,229  ,144  ,0    ,85   ,62.88    ,HW/RI/SK
2415.  ,Tom Harley                  ,198  ,123  ,3    ,72   ,62.88    ,PA/GE
2416.  ,Stan Hiskins                ,66   ,40   ,3    ,23   ,62.88    ,SY
2417.  ,Jarrad Schofield            ,206  ,129  ,1    ,76   ,62.86    ,WC/PA/FR
2418.  ,Richard Dennis              ,70   ,44   ,0    ,26   ,62.86    ,CA/NM
2419.  ,Bob Matlock                 ,35   ,22   ,0    ,13   ,62.86    ,SY
2420.  ,Les Bryant                  ,35   ,22   ,0    ,13   ,62.86    ,FI
2421.  ,Chris Lethbridge            ,148  ,90   ,6    ,52   ,62.84    ,FI
2422.  ,Daryl Cumming               ,109  ,68   ,1    ,40   ,62.84    ,RI/ME/NM/SY
2423.  ,Alex Kerr                   ,74   ,46   ,1    ,27   ,62.84    ,SY
2424.  ,Ian Downsborough            ,39   ,24   ,1    ,14   ,62.82    ,WC/PA/AD
2425.  ,George Carter               ,82   ,50   ,3    ,29   ,62.80    ,CW/HW
2426.  ,Neale Daniher               ,82   ,51   ,1    ,30   ,62.80    ,ES
2427.  ,Lance Franklin              ,219  ,137  ,1    ,81   ,62.79    ,HW/SY
2428.  ,Craig Bird                  ,137  ,85   ,2    ,50   ,62.77    ,SY
2429.  ,Andrew McQualter            ,94   ,58   ,2    ,34   ,62.77    ,SK/GC
2430.  ,Daryl Schimmelbusch         ,47   ,29   ,1    ,17   ,62.77    ,NM
2431.  ,Stephen Doyle               ,47   ,29   ,1    ,17   ,62.77    ,SY
2432.  ,Jack Evans                  ,149  ,92   ,3    ,54   ,62.75    ,GE
2433.  ,Jack Thompson               ,51   ,32   ,0    ,19   ,62.75    ,CW
2434.  ,Bill Walker                 ,169  ,105  ,2    ,62   ,62.72    ,FI
2435.  ,Dayne Beams                 ,126  ,78   ,2    ,46   ,62.70    ,CW/BL
2436.  ,Paul Vander Haar            ,201  ,125  ,2    ,74   ,62.69    ,ES
2437.  ,Don Williams                ,205  ,127  ,3    ,75   ,62.68    ,ME
2438.  ,Edward Baker                ,142  ,88   ,2    ,52   ,62.68    ,CA/CW/GE/WB
2439.  ,Les Gallagher               ,71   ,44   ,1    ,26   ,62.68    ,SK/RI
2440.  ,Heritier Lumumba            ,217  ,135  ,2    ,80   ,62.67    ,CW/ME
2441.  ,Alf Bartlett                ,79   ,49   ,1    ,29   ,62.66    ,FI
2442.  ,Heath Grundy                ,182  ,113  ,2    ,67   ,62.64    ,SY
2443.  ,Brian Douge                 ,91   ,57   ,0    ,34   ,62.64    ,HW
2444.  ,Ian Hull                    ,107  ,67   ,0    ,40   ,62.62    ,RI
2445.  ,Peter Box                   ,107  ,66   ,2    ,39   ,62.62    ,WB
2446.  ,Shannon Byrnes              ,131  ,82   ,0    ,49   ,62.60    ,GE/ME
2447.  ,Albert Pannam               ,183  ,114  ,1    ,68   ,62.57    ,CW/RI
2448.  ,Glenn Hawker                ,227  ,141  ,2    ,84   ,62.56    ,ES/CA
2449.  ,Stephen Kernahan            ,251  ,156  ,2    ,93   ,62.55    ,CA
2450.  ,Travis Cloke                ,232  ,144  ,2    ,86   ,62.50    ,CW
2451.  ,Michael Moncrieff           ,224  ,140  ,0    ,84   ,62.50    ,HW
2452.  ,John Burns                  ,112  ,70   ,0    ,42   ,62.50    ,NM/GE
2453.  ,Tom Baxter                  ,100  ,62   ,1    ,37   ,62.50    ,CW/SK
2454.  ,Tendai Mzungu               ,92   ,57   ,1    ,34   ,62.50    ,FR
2455.  ,Bob Nash                    ,88   ,54   ,2    ,32   ,62.50    ,CW
2456.  ,Frank Mockridge             ,72   ,45   ,0    ,27   ,62.50    ,GE
2457.  ,Arthur Pincott              ,72   ,45   ,0    ,27   ,62.50    ,GE
2458.  ,Milton Lamb                 ,72   ,45   ,0    ,27   ,62.50    ,GE
2459.  ,Lou Riley                   ,64   ,39   ,2    ,23   ,62.50    ,ME/CW
2460.  ,Bill Nolan                  ,60   ,37   ,1    ,22   ,62.50    ,CW
2461.  ,Ben Sinclair                ,48   ,30   ,0    ,18   ,62.50    ,CW
2462.  ,Lachlan Keeffe              ,40   ,25   ,0    ,15   ,62.50    ,CW
2463.  ,Paul Tuddenham              ,40   ,25   ,0    ,15   ,62.50    ,CW
2464.  ,Bob Boyle                   ,36   ,22   ,1    ,13   ,62.50    ,CA
2465.  ,Alec Way                    ,32   ,20   ,0    ,12   ,62.50    ,CA
2466.  ,Alex McGregor               ,32   ,19   ,2    ,11   ,62.50    ,GE
2467.  ,Matthew Mansfield           ,32   ,20   ,0    ,12   ,62.50    ,WB
2468.  ,Hayden Crozier              ,32   ,20   ,0    ,12   ,62.50    ,FR
2469.  ,Ian Callinan                ,32   ,20   ,0    ,12   ,62.50    ,AD
2470.  ,Allen Daniels               ,32   ,20   ,0    ,12   ,62.50    ,WB
2471.  ,Jack Huggard                ,28   ,17   ,1    ,10   ,62.50    ,RI
2472.  ,Noel Alford                 ,24   ,15   ,0    ,9    ,62.50    ,NM
2473.  ,Ted Hill                    ,24   ,14   ,2    ,8    ,62.50    ,CW/FI
2474.  ,Jack Stenhouse              ,24   ,15   ,0    ,9    ,62.50    ,RI/ES/HW
2475.  ,Matt Cave                   ,24   ,15   ,0    ,9    ,62.50    ,WB/SK
2476.  ,Joe Tucker                  ,24   ,15   ,0    ,9    ,62.50    ,GE
2477.  ,Frank OConnor               ,24   ,15   ,0    ,9    ,62.50    ,ME
2478.  ,Leo Bird                    ,24   ,15   ,0    ,9    ,62.50    ,CW/FI
2479.  ,Brad Smith                  ,24   ,15   ,0    ,9    ,62.50    ,NM
2480.  ,Ray Martini                 ,20   ,12   ,1    ,7    ,62.50    ,ES/CA
2481.  ,Bob Norman                  ,20   ,12   ,1    ,7    ,62.50    ,CW/GE
2482.  ,Alan Trusler                ,16   ,10   ,0    ,6    ,62.50    ,WB
2483.  ,Gordon Styles               ,16   ,10   ,0    ,6    ,62.50    ,RI
2484.  ,Tom Reardon                 ,16   ,10   ,0    ,6    ,62.50    ,FI
2485.  ,Johnny Lyons                ,16   ,10   ,0    ,6    ,62.50    ,CW
2486.  ,Mark West                   ,16   ,10   ,0    ,6    ,62.50    ,WB
2487.  ,Fred Sheahan                ,16   ,10   ,0    ,6    ,62.50    ,ME
2488.  ,Des McKenzie                ,16   ,10   ,0    ,6    ,62.50    ,RI
2489.  ,Brett Meredith              ,16   ,10   ,0    ,6    ,62.50    ,SY
2490.  ,George McInnes              ,16   ,10   ,0    ,6    ,62.50    ,RI
2491.  ,Noel Carroll                ,12   ,7    ,1    ,4    ,62.50    ,FI
2492.  ,Charlie Linney              ,12   ,7    ,1    ,4    ,62.50    ,FI
2493.  ,Darcy Lear                  ,12   ,7    ,1    ,4    ,62.50    ,CA
2494.  ,Reg Kent                    ,8    ,5    ,0    ,3    ,62.50    ,WB
2495.  ,Kevin Mithen                ,8    ,5    ,0    ,3    ,62.50    ,ME/SY
2496.  ,Dick Gill                   ,8    ,5    ,0    ,3    ,62.50    ,CA
2497.  ,Alan McPherson              ,8    ,5    ,0    ,3    ,62.50    ,SY
2498.  ,Jimmy McKnight              ,8    ,5    ,0    ,3    ,62.50    ,SY
2499.  ,Noel Doherty                ,8    ,5    ,0    ,3    ,62.50    ,RI
2500.  ,Frank Kelly                 ,8    ,5    ,0    ,3    ,62.50    ,WB
2501.  ,Godfrey Goldin              ,8    ,5    ,0    ,3    ,62.50    ,ES
2502.  ,Gordon Crisp                ,8    ,5    ,0    ,3    ,62.50    ,CA
2503.  ,Frank Johnson               ,8    ,5    ,0    ,3    ,62.50    ,GE
2504.  ,Percy Cheffers              ,8    ,5    ,0    ,3    ,62.50    ,SK
2505.  ,Eric Dalton                 ,8    ,5    ,0    ,3    ,62.50    ,CW/ES
2506.  ,Peter Hannan                ,8    ,5    ,0    ,3    ,62.50    ,ME/WB
2507.  ,Jim Robertson               ,8    ,5    ,0    ,3    ,62.50    ,CA
2508.  ,Dave Dick                   ,8    ,5    ,0    ,3    ,62.50    ,SK/ES/WB
2509.  ,Fred Keays                  ,8    ,5    ,0    ,3    ,62.50    ,FI/CW
2510.  ,Jim Howe                    ,8    ,5    ,0    ,3    ,62.50    ,CA
2511.  ,Reg Thompson                ,8    ,5    ,0    ,3    ,62.50    ,SK
2512.  ,George Pattison             ,8    ,5    ,0    ,3    ,62.50    ,FI
2513.  ,Roy Farmer                  ,8    ,5    ,0    ,3    ,62.50    ,SK
2514.  ,Jimmy Gordon                ,8    ,4    ,2    ,2    ,62.50    ,ES
2515.  ,Danny OBrien                ,8    ,5    ,0    ,3    ,62.50    ,GE
2516.  ,Vic Hambridge               ,8    ,5    ,0    ,3    ,62.50    ,CW
2517.  ,Alex Johnston               ,8    ,5    ,0    ,3    ,62.50    ,CA/RI
2518.  ,Tim Cook                    ,8    ,5    ,0    ,3    ,62.50    ,AD
2519.  ,Charlie Jenkins             ,8    ,5    ,0    ,3    ,62.50    ,FI
2520.  ,Tom Lee                     ,8    ,5    ,0    ,3    ,62.50    ,CW
2521.  ,Russell Johnston            ,8    ,5    ,0    ,3    ,62.50    ,CW
2522.  ,Lukas Webb                  ,8    ,5    ,0    ,3    ,62.50    ,WB
2523.  ,Brendan Tranter             ,8    ,5    ,0    ,3    ,62.50    ,CW
2524.  ,Jim Silvestro               ,8    ,5    ,0    ,3    ,62.50    ,SY
2525.  ,George Lucas                ,4    ,2    ,1    ,1    ,62.50    ,SY
2526.  ,Ted Collinson               ,4    ,2    ,1    ,1    ,62.50    ,RI
2527.  ,Les Huntington              ,4    ,2    ,1    ,1    ,62.50    ,CW
2528.  ,Norm Grigg                  ,4    ,2    ,1    ,1    ,62.50    ,GE
2529.  ,Laurie Ogilvie              ,4    ,2    ,1    ,1    ,62.50    ,ME
2530.  ,Stephen Anderson            ,4    ,2    ,1    ,1    ,62.50    ,CW
2531.  ,Russell Renfrey             ,201  ,125  ,1    ,75   ,62.44    ,GE
2532.  ,Rene Kink                   ,181  ,112  ,2    ,67   ,62.43    ,CW/ES/SK
2533.  ,Ron Hovey                   ,141  ,87   ,2    ,52   ,62.41    ,GE
2534.  ,Ken Sier                    ,97   ,59   ,3    ,35   ,62.37    ,FI/RI
2535.  ,Paul Meldrum                ,158  ,98   ,1    ,59   ,62.34    ,CA
2536.  ,Merv Neagle                 ,203  ,126  ,1    ,76   ,62.32    ,ES/SY
2537.  ,Charles Pannam              ,142  ,88   ,1    ,53   ,62.32    ,CW/SY
2538.  ,Keith Bromage               ,69   ,43   ,0    ,26   ,62.32    ,CW/FI
2539.  ,Mark Naley                  ,65   ,40   ,1    ,24   ,62.31    ,CA
2540.  ,Ernie Coward                ,118  ,72   ,3    ,43   ,62.29    ,ES
2541.  ,Jack Green                  ,110  ,67   ,3    ,40   ,62.27    ,GE/CW
2542.  ,Ian Bremner                 ,159  ,99   ,0    ,60   ,62.26    ,CW/HW
2543.  ,Dwayne Lamb                 ,151  ,93   ,2    ,56   ,62.25    ,WC
2544.  ,Charlie Laxton              ,147  ,90   ,3    ,54   ,62.24    ,CW
2545.  ,Dave Smith                  ,143  ,88   ,2    ,53   ,62.24    ,ES/RI
2546.  ,Neil Clarke                 ,135  ,84   ,0    ,51   ,62.22    ,ES
2547.  ,Max Rooke                   ,135  ,83   ,2    ,50   ,62.22    ,GE
2548.  ,Jeff Gamble                 ,90   ,56   ,0    ,34   ,62.22    ,ES
2549.  ,Jarrad McVeigh              ,262  ,161  ,4    ,97   ,62.21    ,SY
2550.  ,John Yeates                 ,86   ,52   ,3    ,31   ,62.21    ,GE
2551.  ,Tommy Quinn                 ,168  ,103  ,3    ,62   ,62.20    ,GE
2552.  ,Ray Horwood                 ,82   ,50   ,2    ,30   ,62.20    ,CW/RI
2553.  ,John Kerr                   ,82   ,50   ,2    ,30   ,62.20    ,WB/ME
2554.  ,Chris Mainwaring            ,201  ,124  ,2    ,75   ,62.19    ,WC
2555.  ,Guy McKenna                 ,267  ,165  ,2    ,100  ,62.17    ,WC
2556.  ,Darren Milburn              ,292  ,181  ,1    ,110  ,62.16    ,GE
2557.  ,Stan Molan                  ,111  ,67   ,4    ,40   ,62.16    ,FI
2558.  ,Danny Warr                  ,37   ,23   ,0    ,14   ,62.16    ,SK
2559.  ,Jim Tarbotton               ,37   ,23   ,0    ,14   ,62.16    ,FI
2560.  ,Steve Hickey                ,37   ,22   ,2    ,13   ,62.16    ,NM
2561.  ,Gene Chiron                 ,37   ,23   ,0    ,14   ,62.16    ,HW
2562.  ,Des Tuddenham               ,251  ,155  ,2    ,94   ,62.15    ,CW/ES
2563.  ,Graeme Whitnall             ,66   ,41   ,0    ,25   ,62.12    ,CA
2564.  ,Charlie Barnes              ,33   ,20   ,1    ,12   ,62.12    ,ME
2565.  ,Ted Richards                ,248  ,152  ,4    ,92   ,62.10    ,ES/SY
2566.  ,Tom OHalloran               ,62   ,38   ,1    ,23   ,62.10    ,SY
2567.  ,Mark Hannebery              ,62   ,38   ,1    ,23   ,62.10    ,CW/ES
2568.  ,Don Scott                   ,302  ,187  ,1    ,114  ,62.09    ,HW
2569.  ,Chris Lewis                 ,215  ,132  ,3    ,80   ,62.09    ,WC
2570.  ,Jason Daniltchenko          ,29   ,18   ,0    ,11   ,62.07    ,NM
2571.  ,Tom Dunne                   ,29   ,18   ,0    ,11   ,62.07    ,RI/NM
2572.  ,Billy Moxham                ,29   ,18   ,0    ,11   ,62.07    ,SY
2573.  ,Jack Hanson                 ,29   ,18   ,0    ,11   ,62.07    ,WB
2574.  ,Alex Duncan                 ,141  ,86   ,3    ,52   ,62.06    ,CA
2575.  ,Dick Casey                  ,112  ,69   ,1    ,42   ,62.05    ,SY
2576.  ,Doug Smith                  ,54   ,33   ,1    ,20   ,62.04    ,NM
2577.  ,Michael Gallagher           ,54   ,33   ,1    ,20   ,62.04    ,CA/NM
2578.  ,Mac Holten                  ,79   ,48   ,2    ,29   ,62.03    ,CW
2579.  ,Michael Brennan             ,179  ,110  ,2    ,67   ,62.01    ,WC
2580.  ,Austin Robertson            ,154  ,95   ,1    ,58   ,62.01    ,SY
2581.  ,Darren Saunders             ,50   ,31   ,0    ,19   ,62.00    ,WB/CW
2582.  ,Noel Carter                 ,50   ,31   ,0    ,19   ,62.00    ,RI
2583.  ,Charlie Grummisch           ,50   ,31   ,0    ,19   ,62.00    ,HW
2584.  ,George Shaw                 ,117  ,71   ,3    ,43   ,61.97    ,FI
2585.  ,Jock Doherty                ,71   ,44   ,0    ,27   ,61.97    ,SY/NM
2586.  ,Neil Balme                  ,159  ,97   ,3    ,59   ,61.95    ,RI
2587.  ,Tammy Beauchamp             ,134  ,82   ,2    ,50   ,61.94    ,FI
2588.  ,Bob Greve                   ,67   ,41   ,1    ,25   ,61.94    ,CW
2589.  ,John Beckwith               ,176  ,107  ,4    ,65   ,61.93    ,ME
2590.  ,Sergio Silvagni             ,239  ,146  ,4    ,89   ,61.92    ,CA
2591.  ,Jack Symons                 ,147  ,90   ,2    ,55   ,61.90    ,RI/FI
2592.  ,Harvey Stevens              ,126  ,77   ,2    ,47   ,61.90    ,CW/WB
2593.  ,Allen Christensen           ,84   ,52   ,0    ,32   ,61.90    ,GE/BL
2594.  ,Charlie Gardiner            ,63   ,39   ,0    ,24   ,61.90    ,GE/SK
2595.  ,Alan Ryan                   ,42   ,25   ,2    ,15   ,61.90    ,ME/CW
2596.  ,Terry Wight                 ,42   ,26   ,0    ,16   ,61.90    ,CW/WB
2597.  ,Mike Delahunty              ,42   ,25   ,2    ,15   ,61.90    ,CW
2598.  ,Jim Roberts                 ,21   ,13   ,0    ,8    ,61.90    ,GE
2599.  ,Bill Hore                   ,21   ,13   ,0    ,8    ,61.90    ,SK/CA/ME
2600.  ,Richard Leffanue            ,21   ,13   ,0    ,8    ,61.90    ,SY/CA
2601.  ,Jamie Dunlop                ,21   ,13   ,0    ,8    ,61.90    ,CA
2602.  ,Jack McKenzie               ,97   ,60   ,0    ,37   ,61.86    ,ES/ME
2603.  ,Alle De Wolde               ,97   ,60   ,0    ,37   ,61.86    ,HW
2604.  ,Chris Laird                 ,59   ,36   ,1    ,22   ,61.86    ,SY
2605.  ,Ian Scrimshaw               ,59   ,36   ,1    ,22   ,61.86    ,HW/RI
2606.  ,Len Wigraft                 ,135  ,82   ,3    ,50   ,61.85    ,FI
2607.  ,Craig McKellar              ,135  ,83   ,1    ,51   ,61.85    ,RI/ME
2608.  ,Jack Walker                 ,76   ,46   ,2    ,28   ,61.84    ,GE
2609.  ,Winston Abraham             ,110  ,68   ,0    ,42   ,61.82    ,FR/NM
2610.  ,Mark Fraser                 ,110  ,67   ,2    ,41   ,61.82    ,CW/ES
2611.  ,Andrew Ireland              ,110  ,67   ,2    ,41   ,61.82    ,CW
2612.  ,Kevin Connell               ,55   ,34   ,0    ,21   ,61.82    ,HW
2613.  ,Kieren Jack                 ,182  ,111  ,3    ,68   ,61.81    ,SY
2614.  ,Syd Barker                  ,68   ,41   ,2    ,25   ,61.76    ,RI/ES/NM
2615.  ,Arthur Hart                 ,34   ,21   ,0    ,13   ,61.76    ,SK
2616.  ,Maurie OConnell             ,34   ,21   ,0    ,13   ,61.76    ,RI
2617.  ,Luke McDonald               ,34   ,21   ,0    ,13   ,61.76    ,NM
2618.  ,Greg Lourey                 ,17   ,10   ,1    ,6    ,61.76    ,ME/FI
2619.  ,Jack Knight                 ,128  ,78   ,2    ,48   ,61.72    ,CW/SK
2620.  ,Darryl Sutton               ,111  ,67   ,3    ,41   ,61.71    ,NM/RI/SY
2621.  ,Matthew Bishop              ,150  ,92   ,1    ,57   ,61.67    ,ME/PA
2622.  ,Josh Hill                   ,133  ,81   ,2    ,50   ,61.65    ,WB/WC
2623.  ,Steven Handley              ,73   ,45   ,0    ,28   ,61.64    ,GE
2624.  ,Tom Drummond                ,99   ,61   ,0    ,38   ,61.62    ,CW/SY
2625.  ,Jeff Moran                  ,155  ,95   ,1    ,59   ,61.61    ,SK
2626.  ,Ben McGlynn                 ,151  ,92   ,2    ,57   ,61.59    ,HW/SY
2627.  ,Les Jones                   ,121  ,74   ,1    ,46   ,61.57    ,ME
2628.  ,Jason Akermanis             ,325  ,197  ,6    ,122  ,61.54    ,BB/BL/WB
2629.  ,Jim Cameron                 ,117  ,71   ,2    ,44   ,61.54    ,SY
2630.  ,Ron Hartridge               ,65   ,40   ,0    ,25   ,61.54    ,SK/SY
2631.  ,Maurie Connell              ,52   ,32   ,0    ,20   ,61.54    ,SY/CA
2632.  ,Ted Cordner                 ,52   ,32   ,0    ,20   ,61.54    ,ME
2633.  ,Andrew Smith                ,39   ,24   ,0    ,15   ,61.54    ,CW/SY
2634.  ,Joe Hickey                  ,26   ,16   ,0    ,10   ,61.54    ,FI
2635.  ,Frank Costigan              ,26   ,16   ,0    ,10   ,61.54    ,FI
2636.  ,Anthony Morabito            ,26   ,16   ,0    ,10   ,61.54    ,FR
2637.  ,Cyril Collard               ,13   ,8    ,0    ,5    ,61.54    ,HW
2638.  ,Keith McDonald              ,13   ,8    ,0    ,5    ,61.54    ,ES
2639.  ,Ken Scott                   ,13   ,8    ,0    ,5    ,61.54    ,WB
2640.  ,Jack Turner                 ,13   ,8    ,0    ,5    ,61.54    ,RI
2641.  ,Jack Hayes                  ,13   ,8    ,0    ,5    ,61.54    ,WB
2642.  ,Les Rennie                  ,13   ,8    ,0    ,5    ,61.54    ,ES
2643.  ,Allan Skehan                ,13   ,8    ,0    ,5    ,61.54    ,CA
2644.  ,Ted OMeara                  ,13   ,8    ,0    ,5    ,61.54    ,SY
2645.  ,Laurie Pender               ,13   ,8    ,0    ,5    ,61.54    ,GE
