Rank   ,Player                      ,P    ,W    ,D    ,L    ,  %      ,Teams
6189.  ,Bert Taylor                 ,39   ,17   ,1    ,21   ,44.87    ,ME
6190.  ,Charlie James               ,78   ,35   ,0    ,43   ,44.87    ,SY
6191.  ,Justin Murphy               ,185  ,83   ,0    ,102  ,44.86    ,RI/CA/GE/ES
6192.  ,Greg Stafford               ,204  ,91   ,1    ,112  ,44.85    ,SY/RI
6193.  ,Geoff Nicholls              ,29   ,13   ,0    ,16   ,44.83    ,CW/FI
6194.  ,Ben Warren                  ,29   ,13   ,0    ,16   ,44.83    ,NM
6195.  ,Stephen Daniels             ,58   ,25   ,2    ,31   ,44.83    ,PA
6196.  ,Pat Wellington              ,58   ,26   ,0    ,32   ,44.83    ,ES
6197.  ,Noel Clarke                 ,77   ,34   ,1    ,42   ,44.81    ,ME
6198.  ,Paul Roos                   ,356  ,159  ,1    ,196  ,44.80    ,FI/SY
6199.  ,Rob Smith                   ,48   ,21   ,1    ,26   ,44.79    ,NM
6200.  ,Bryan Cousins               ,67   ,30   ,0    ,37   ,44.78    ,GE
6201.  ,Bill Cubbins                ,182  ,81   ,1    ,100  ,44.78    ,SK/WB
6202.  ,Brian Cordy                 ,124  ,55   ,1    ,68   ,44.76    ,WB
6203.  ,Dennis Carroll              ,219  ,97   ,2    ,120  ,44.75    ,SY
6204.  ,Kevin Pay                   ,19   ,8    ,1    ,10   ,44.74    ,CW
6205.  ,John Elder                  ,19   ,8    ,1    ,10   ,44.74    ,CW/SY
6206.  ,Bill Henry                  ,19   ,8    ,1    ,10   ,44.74    ,CW/HW/ES
6207.  ,Joe Harrison                ,19   ,8    ,1    ,10   ,44.74    ,RI
6208.  ,Peter Munro                 ,19   ,8    ,1    ,10   ,44.74    ,WB
6209.  ,James Gallagher             ,38   ,17   ,0    ,21   ,44.74    ,AD
6210.  ,Denby Browning              ,38   ,16   ,2    ,20   ,44.74    ,UN
6211.  ,Kevin Ablett                ,38   ,17   ,0    ,21   ,44.74    ,HW/RI/GE
6212.  ,Peter Smith                 ,38   ,17   ,0    ,21   ,44.74    ,ME/CA
6213.  ,Alf Callick                 ,57   ,25   ,1    ,31   ,44.74    ,SY
6214.  ,Laurie Icke                 ,57   ,25   ,1    ,31   ,44.74    ,NM
6215.  ,Maurie Beasy                ,76   ,32   ,4    ,40   ,44.74    ,CA
6216.  ,Mick Hughson                ,95   ,42   ,1    ,52   ,44.74    ,FI
6217.  ,Roy Cazaly                  ,198  ,87   ,3    ,108  ,44.70    ,SK/SY
6218.  ,Nick Holland                ,179  ,79   ,2    ,98   ,44.69    ,HW
6219.  ,Ernie Sellars               ,47   ,21   ,0    ,26   ,44.68    ,SK
6220.  ,Justin Westhoff             ,178  ,79   ,1    ,98   ,44.66    ,PA
6221.  ,Cyril Gove                  ,28   ,12   ,1    ,15   ,44.64    ,ES
6222.  ,Shannon Gibson              ,28   ,12   ,1    ,15   ,44.64    ,HW/CW
6223.  ,David Cameron               ,56   ,25   ,0    ,31   ,44.64    ,GE/BB
6224.  ,Robert Murphy               ,289  ,127  ,4    ,158  ,44.64    ,WB
6225.  ,Eric Mackenzie              ,121  ,54   ,0    ,67   ,44.63    ,WC
6226.  ,Frank Jeeves                ,65   ,29   ,0    ,36   ,44.62    ,NM
6227.  ,David Haynes                ,65   ,28   ,2    ,35   ,44.62    ,WC/GE
6228.  ,Cale Hooker                 ,130  ,57   ,2    ,71   ,44.62    ,ES
6229.  ,Roy Wright                  ,195  ,87   ,0    ,108  ,44.62    ,RI
6230.  ,Adam McPhee                 ,223  ,99   ,1    ,123  ,44.62    ,FR/ES
6231.  ,Zach Merrett                ,37   ,16   ,1    ,20   ,44.59    ,ES
6232.  ,Dan Moriarty                ,74   ,32   ,2    ,40   ,44.59    ,FI/ME
6233.  ,Hugh Delahunty              ,46   ,20   ,1    ,25   ,44.57    ,ES
6234.  ,Alex Gardiner               ,92   ,41   ,0    ,51   ,44.57    ,WB
6235.  ,Peter Hamilton              ,55   ,24   ,1    ,30   ,44.55    ,NM
6236.  ,Darren Hulme                ,110  ,49   ,0    ,61   ,44.55    ,CA
6237.  ,Andrew Krakouer             ,137  ,61   ,0    ,76   ,44.53    ,RI/CW
6238.  ,Daniel Giansiracusa         ,265  ,116  ,4    ,145  ,44.53    ,WB
6239.  ,Des Dickson                 ,73   ,32   ,1    ,40   ,44.52    ,HW
6240.  ,Jamie Tape                  ,91   ,40   ,1    ,50   ,44.51    ,RI/CW
6241.  ,Laurie Sandilands           ,164  ,71   ,4    ,89   ,44.51    ,WB/CW
6242.  ,Daniel Cross                ,246  ,108  ,3    ,135  ,44.51    ,WB/ME
6243.  ,Jobe Watson                 ,200  ,87   ,4    ,109  ,44.50    ,ES
6244.  ,Harry Marsham               ,136  ,59   ,3    ,74   ,44.49    ,GE/RI
6245.  ,Vic Thorp                   ,262  ,115  ,3    ,144  ,44.47    ,RI
6246.  ,Adem Yze                    ,271  ,120  ,1    ,150  ,44.46    ,ME
6247.  ,Mike Darby                  ,9    ,4    ,0    ,5    ,44.44    ,NM
6248.  ,John Dalgleish              ,9    ,4    ,0    ,5    ,44.44    ,NM
6249.  ,Bill Box                    ,9    ,4    ,0    ,5    ,44.44    ,ES
6250.  ,Ezra Poyas                  ,9    ,4    ,0    ,5    ,44.44    ,RI
6251.  ,Lloyd Bennett               ,9    ,4    ,0    ,5    ,44.44    ,ME
6252.  ,Jack Brenchley              ,9    ,4    ,0    ,5    ,44.44    ,SK
6253.  ,Stan Brown                  ,9    ,4    ,0    ,5    ,44.44    ,SY
6254.  ,Doug Rankin                 ,9    ,4    ,0    ,5    ,44.44    ,GE
6255.  ,Bill Garvie                 ,9    ,4    ,0    ,5    ,44.44    ,RI
6256.  ,Jack McCoy                  ,9    ,4    ,0    ,5    ,44.44    ,SK
6257.  ,Hugh Carroll                ,9    ,4    ,0    ,5    ,44.44    ,NM
6258.  ,Leo Glynn                   ,9    ,4    ,0    ,5    ,44.44    ,ES
6259.  ,Jack Way                    ,9    ,4    ,0    ,5    ,44.44    ,CA/ES
6260.  ,Tom Hart                    ,9    ,4    ,0    ,5    ,44.44    ,CA
6261.  ,Ted Derrick                 ,9    ,4    ,0    ,5    ,44.44    ,RI
6262.  ,Bill Angwin                 ,9    ,4    ,0    ,5    ,44.44    ,ME/SK
6263.  ,Billy Harvey                ,9    ,4    ,0    ,5    ,44.44    ,ES
6264.  ,Tom McCluskey               ,9    ,4    ,0    ,5    ,44.44    ,CA/FI
6265.  ,Jim Lynch                   ,9    ,4    ,0    ,5    ,44.44    ,FI/SY
6266.  ,Jack Donaldson              ,9    ,4    ,0    ,5    ,44.44    ,ME
6267.  ,Lance Sleeman               ,9    ,4    ,0    ,5    ,44.44    ,ME/UN
6268.  ,Bill McVitty                ,9    ,4    ,0    ,5    ,44.44    ,ES
6269.  ,Alex Robinson               ,9    ,4    ,0    ,5    ,44.44    ,ES
